x y
50 24.90222222222222
100 78.00888888888889
150 150.56444444444443
200 236.4622222222222
250 346.8311111111111
300 485.74666666666667
350 649.1333333333333
400 831.4933333333333
450 1042.4844444444445
500 1280.5288888888888
550 1534.671111111111
600 1817.6577777777777
650 2115.177777777778
700 2449.8044444444445
750 2792.2266666666665
800 3164.7244444444445
850 3570.6266666666666
900 3989.168888888889
950 4432.0
1000 4904.417777777778
1050 5397.435555555556
1100 5919.0
1150 6461.2
1200 7029.111111111111
1250 7615.791111111111
1300 8232.502222222221
1350 8877.128888888888
1400 9530.302222222223
1450 10204.764444444445
1500 10930.924444444445
1550 11653.368888888888
1600 12404.906666666666
1650 13193.715555555556
1700 13993.453333333333
1750 14812.351111111111
1800 15666.537777777778
1850 16541.373333333333
1900 17425.34222222222
1950 18346.64
2000 19294.27111111111
