x y
50 66.28
100 226.20444444444445
150 439.9511111111111
200 695.1111111111111
250 1035.7511111111112
300 1457.8844444444444
350 1951.4044444444444
400 2506.4533333333334
450 3131.337777777778
500 3828.4577777777777
550 4600.84
600 5427.7155555555555
650 6339.0
700 7326.502222222222
750 8371.044444444444
800 9510.653333333334
850 10709.213333333333
900 11964.662222222221
950 13316.351111111111
1000 14698.048888888889
1050 16179.924444444445
1100 17722.413333333334
1150 19324.2
1200 21014.942222222224
1250 22815.52888888889
1300 24727.582222222223
1350 26576.546666666665
1400 28559.466666666667
1450 30596.284444444445
1500 32721.11111111111
1550 34861.51111111111
1600 37108.84888888889
1650 39915.537777777776
1700 41840.648888888885
1750 44289.502222222225
1800 46808.68
1850 49452.43555555555
1900 52119.27111111111
1950 54779.28888888889
2000 57580.58222222222
